event_date,name,symbol,added_on,description,report_date
2018-03-13,Ripple,XRP,2018-01-17,Ripple will be at Money20/20 Asia in Singapore this March.Event will be on March 13-15 2018.,2018-03-13 01:54:14
2018-03-13,NEO,NEO,2018-02-09,March 13 - 15 in Melbourne Australia,2018-03-13 01:54:14
2018-03-13,Monaco,MCO,2018-01-23,Monaco is a speaker and an exhibitor at the upcoming Money 20/20 Asia the hottest FinTech event.,2018-03-13 01:54:14
2018-03-14,IOTA,MIOTA,2018-01-29,Dominik Schiener will be speaking with Ayelet Noff about building a machine economy with IOTA.,2018-03-13 01:54:14
2018-03-14,BitBay,BAY,2017-12-20,No additional info,2018-03-13 01:54:14
2018-03-15,Burst,BURST,2018-01-04,Dynamic block size and transaction fees PoC2 protocol partial Dymaxion code... The fork is planned to happen around block 470 000.,2018-03-13 01:54:14
2018-03-15,Stellar,XLM,2018-01-26,The Stellar Build Challenge is an ongoing program to reward innovation and development in the Stellar ecosystem.,2018-03-13 01:54:14
2018-03-15,TRON,TRX,2018-02-27,Tron Mascot Contest: submit mascot ideas Feb 26 through Mar 15.,2018-03-13 01:54:14
2018-03-15,IOStoken,IOST,2018-01-22,Working hard on releasing our github to the public and you can expect to see our code in the coming weeks. Deadline - early march.,2018-03-13 01:54:14
2018-03-15,Pundi X,PXS,2018-01-27,The date and metric of $PXS token split are decided. PXS will swap 1:1000 and become ‘the-new-PXS’ on March 15.,2018-03-13 01:54:14
2018-03-16,IOTA,MIOTA,2017-12-22,Presentation of business plans at the Blockchain Business Camp Tokyo.,2018-03-13 01:54:14
